,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,experience,non_ADU_proj_count,non_ADU_avg_insp,non_ADU_avg_time_per_insp
2,936962.0,True,5.594714109419992,0.0,37.0,8.0,3.0,7.0,12.0,9.0,7.0,3.0,2.0,2.0,2658,43,7.627906976744186,27.066980331190315
16,734381.0,True,17.01017840500599,10.0,3.0,6.0,0.0,1.0,1.0,3.0,3.0,6.0,3.0,2.0,2091,17,13.529411764705882,37.569904082845255
17,851344.0,True,19.814063368538076,0.0,18.0,11.0,0.0,5.0,1.0,5.0,9.0,4.0,3.0,2.0,1959,25,6.68,21.64240906805612
18,1034806.0,True,5.818181818181818,0.0,7.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2283,8,6.0,8.618055555555557
21,1024554.0,True,18.333333333333332,0.0,6.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2197,6,4.666666666666667,44.525
23,1044615.0,True,4.25,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1497,3,5.333333333333333,13.026190476190477
33,875130.0,True,10.002673353816494,0.0,12.0,4.0,1.0,4.0,3.0,5.0,1.0,1.0,0.0,1.0,972,13,6.3076923076923075,22.932445759368836
36,835794.0,True,12.833333333333334,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1422,5,8.8,48.98742424242424
37,393769.0,True,27.166666666666668,0.0,17.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1301,16,6.5625,18.79575892857143
38,538538.0,True,16.42205396475771,1.0,30.0,10.0,0.0,3.0,6.0,9.0,8.0,6.0,5.0,4.0,2273,39,7.666666666666667,27.382448641102492
39,993435.0,True,17.0,0.0,6.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,756,7,10.714285714285714,19.693131868131868
40,1030887.0,True,21.17531104781892,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2448,4,6.5,8.891346153846154
45,989530.0,True,9.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1225,5,11.2,17.341666666666665
50,1025507.0,True,25.480489536303494,11.0,3.0,120.0,0.0,5.0,74.0,55.0,0.0,0.0,0.0,0.0,2652,131,16.374045801526716,22.5125299434125
53,832632.0,True,24.150478321600172,3.0,1.0,17.0,0.0,4.0,6.0,4.0,4.0,1.0,2.0,0.0,2389,14,9.571428571428571,46.280574881467736
54,965193.0,True,20.375,5.0,14.0,16.0,1.0,2.0,3.0,3.0,7.0,9.0,3.0,7.0,2599,34,8.588235294117647,26.544473949253362
61,962170.0,True,7.6000000000000005,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,377,1,10.0,20.5
63,825670.0,True,7.125,0.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1239,7,10.857142857142858,42.74747474747475
