,permit_ID,full_description
0,18014-20000-07002,"Add irr. shaped 31'-10"" x 27'-6"" to and convert (e) detached garage to a new Accessory Dwelling Unit per AB494 & SB229"
1,19016-20000-10124,CONVERT (E) DET. GARAGE TO ADU PER AB 494 AND SB 229
2,18016-30000-33740,convert (e) garage to 380ft ADU per AB494 SB229
3,18014-20000-05176,"CONVERT (E) 16'-3"" x 18'-2"" DETACHED GARAGE AND 18'-6"" x 34'-6"" IRRG. ADDITION FOR (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229."
4,17014-10000-02893,"SINGLE FAMILY DWELLING ADDITION BY CONVERTING (E) CRAWL SPACE INTO HABITABLE AREA (24X31 irregular shape) interior alteration to include stairs, and reframing of the floor. exterior alteration to include a balcony, and new doors and windows"
5,19043-20000-01270,"NEW 13D SYSTEM FOR AN ADU. 1 INCH METER, NO BACKFLOW"
6,17014-30000-05005,"14'3"" x 22'6""addition and convert (E) Garage to Accessory Dwelling Unit per AB2299 and SB1069."
7,19043-20000-03161,"NEW 13D SYSTEM FOR AN ACCESSORY DWELLING QUARTER. 1 1/2"" U.G.  FROM 1 INCH METER TO POC. 16 X 16 SPACING. 26.1 GPM @ 22.7 PSI"
8,19016-20000-19042,CONVERT 6' X 11' PORTION OF ATTACHED GARAGE TO LAUNDRY ROOM AND REMAINING GARAGE AREA TO ACCESSORY DWELLING UNIT PER AB494 & SB229. WORK DONE PER WFPP.
9,17016-10000-27298,"CONVERT EXISTING GARAGE TO ADU PER AB 2299 AND SB 1069, ADD 247 SQFT TO REAR OF BUILDING"
10,19014-20001-04449,SUPPL. PERMIT TO 19014-20000-04449 TO CONVERT AN (E) BATHROOM TO A CLOSET AND REVISE FRAMING AT LIVING SPACE PER ENGINEER DESIGN.
11,19016-30000-33933,Convert (e) att. garage to an accessory dwelling unit (ADU) per AB 494 and SB 229. All work per IB/P/BC 2017-004 wood frame prescriptive provision.
12,19014-20000-06387,"CONVERT 19'7""X19'8"" 2-CAR GARAGE TO 10'0""X19'8"" 1-CAR GARAGE WITH 9'7""X19'8"" STORAGE & ADD A (N) WINDOW OVER (E) HEADER. NO STRUCTURAL CHANGES. GARAGE PARKING REPLACED UNCOVERED ON SITE."
13,17014-10000-02027,"ADDITION TO EXISTING GARAGE TO MAKE AN ACCESSORY DWELLING UNIT AT THE REAR, 24'8""X23'4"", 531 SQFT, PER AB2299 & SB1069"
14,19014-20000-03824,"28'-3"" X 15'-0"" ADDITION TO (E) SINGLE FAMILY DWELLING CONVERT TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229.  ALL WORK DONE PER WFPP."
15,20016-20000-04278,"CONVERT 23'-8"" X 27'-3"" IRREG SHAPED PORTION OF (E) DWELLING TO ACCESSORY DWELLING UNIT (580 SQ FT)"
16,14010-10002-02208,SUPPLEMENTAL TO 14010-30000-02208 TO CONVERT VINE STORAGE TO A BATHROOM AND RELOCATE VINE STORAGE IN BASEMENT
17,18016-20000-32164,"CONVERT (E) 18'-3"" X 20'-3"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & SB 229."
18,19016-20000-32968,"CONVERT (E) 18'-0"" X 19'-6"" ATTACHED GARAGE AND 6'-0"" X 9'0"" PORTION OF (E) SFD TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER DESIGN."
19,18010-20000-05156,"NEW ACCESSORY DWELLING UNIT (30'x39'-9"") PER AB 494 AND SB 229. WORK PER WOOD FRAMED PRESCRIPTIVE PROVISIONS"
20,18010-30000-00443,(N) 26' x 42' Accessory dwelling unit (ADU) per AB 494 and SB 229
21,19043-20000-05025,"NFPA 13D system for ADU. 1"" meter, 1 1/2"" underground."
22,18014-10000-00604,2 STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 229 ATTACHED TO EXISTING GARAGE
23,19016-10000-24142,PROPSOED INTERIOR REMODEL TO (E) SFD  CONVERT DEN TO MASTER BEDROOM.  RELOCATE LAUNDRY ROOM CLOSET.  CHANGE OUT WINDOWS.  KITCHEN & BATHROOM REMODEL.
24,18014-30000-00907,ADDITION BY CONVERTING UNHABITABLE ATTIC SPACE TO HABITABLE REC ROOM AND ROOF DECK TO (E) SINGLE FAMILY DWELLING W/ATT GARAGE
25,18016-20000-27444,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
26,19016-20000-01601,Propose same work to both units of duplex building: Convert kitchen to bedroom and 3/4 bathroom convert portion of living room to relocated kitchen and convert family room to 3/4 bathroom.  All works are per design
27,18014-20000-06033,"ADD 13'-10"" X 31'-10"" TWO STORY ACCESSORY DWELLING UNIT AND  6'-0"" X 10'-0"" COVERED PATIO TO (E) SFD PER AB 494 AND SB 229."
28,19014-30000-00311,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
29,18010-70000-03978,NEW 2-STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
30,18016-20000-17390,CONVERT (E) ATTACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.
31,18014-10000-01531,2-STORY ADU ADDITION TO DETACHED GARAGE PER AB494 & SB229
32,19014-30000-00308,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
33,19014-30000-00315,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
34,18014-30000-01933,Addition to (e) storage and convert to (n) ADU per SB 229 and AB 494.
35,19014-30000-00314,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.   COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
36,19014-30000-00310,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
37,16010-10001-01379,SUPPLEMENTAL TO PERMIT #16010-20000-01379 TO CHANGE FLOOR LAYOUT AND UPDATE T-24.
38,19016-20000-09847,"CONVERT 12'-10"" x 9'-11"" PORTION OF THE (E) PATIO TO A (N) BATHROOM AND CONVERT (E)BATHROOM INTO CLOSET. WORD DONE PER WFPP."
39,15016-10000-05304,"ALTERATION TO (E) 2-STORY SFD: ENCLOSE (E) PATIO @ REAR AND CONVERT IT TO (N) DEN; AND KITCHEN REMODEL, INCLUDING NEW WINDOWS AND DOORS."
40,19016-10000-21957,CONVERT EXISTING DINING ROOMS TO NEW BEDROOMS AT BOTH UNITS WITHIN DUPLEX.  NO ADDITIONAL FLOOR AREA.
41,19016-20000-15630,"Convert (e) 21'9"" X 21'2-1/2"" attached garage into (n) Accessory Dwelling Unit per AB 494 & SB 229 and convert 6' x 9' portion of the garage into laundry room."
42,19016-10000-04654,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB229. ALL WORK PER WFPP.
43,19016-70000-21312,CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 and SB 229
44,18016-20000-39662,"CONVERT (E) DETACHED 18'-4"" X 18'-5"" GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WORK PER ENGINEERING."
45,18014-10000-04490,"CONVERSION OF EXISTING 20'5""X19'2"" 2-CAR GARAGE TO NEW ADU AND 20'5""X11'9"" ADDITION TO NEW ADU PER AB 494 & SB 229."
46,18016-20000-33603,CONVERT (E) 21' X 20' DETACHED   GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229. ALL WORK PER ENGINEERING
47,17014-30000-06306,CONVERT EXISTING DETACHED GARAGE AT REAR TO ACCESSORY DWELLING UNIT WITH ATTACHED STORAGE PER AB 2299 & SB 1069.
48,18016-20000-21597,INTERIOR ALTERATION TO CONVERT PORTION OF LIVING ROOM/KITCHEN INTO NEW BEDROOM. REMODEL EXISTING SINLGE FAMILY DWELLING.
49,19019-20000-00915,DEMO DETACHED GARAGE TO ALLOW CONSTRUCTION OF ADU (18010-20000-05607).  Sewer cap is not required
50,18014-20000-07091,"ADD 6'-6"" x 11' TO & CONVERT  (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 & SB 229"
51,19014-30000-00313,CONVERT (E) BALCONY TO A (N) BATHROOM & SEATING AREA.    COMPLY WITH DEPARTMENT ORDER effective date 10/27/2017.  PERMIT WILL EXPIRE 30-DAYS FROM ISSUANCE DATE.  CEIS Case Number is 789100.
52,16020-20000-00883,Shoring at (N)accessory building under 14010-20000-04048
53,18010-20000-04607,"(N) DETACHED 40' X 21' 8""  ACCESSORY DWELLING UNIT PER AB494 AND SB229. ALL WORK DONE PER WOOD FRAME PRESCRIPTIVE PROVISIONS."
54,18010-10000-01863,"NEW DETTACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ""COMPLY PER DEPARTMENT ORDER  effective date 11/07/2016. PERMIT WILL EXPIRE 30 DAYS FROM ISSUANCE DATE""."
55,15016-10000-04788,"REMODEL (E) SFD ON 2ND FLOOR: CONVERT BEDROOOM TO MASTER BATH AND REMODEL (E) BATH RMS; ADD NEW WASHER AND DRYER, ENLARGE (E) WIC FOR MASTER BED RM, REPAIR PORTION OF ROOFING (NO FRAMING)."
56,19016-20000-07246,CONVERT SUNROOM/COVER PATIO TO NEW LIVABLE SPACE. INTERIOR REMODEL TO DEMO FIREPLACE & REMOVE SOME NON-BEARING WALLS. ALL WORK PER ENGINEER
57,18016-20000-34954,CONVERT (E) DETACHED GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229
58,18016-20000-26404,"REMODEL (E) KITCHEN/LAUNDRY/BATHROOM AT FIRST FLOOR, CONVERT PORTION OF (E) BEDROOM TO (N) FULL BATH AT SECOND FLOOR, REMOVE AND REPLACE (E) WINDOWS. ALL WORK PER ENGINEERING."
59,17014-20000-05778,"Remove 10'8"" x 19'5"" area, convert kitchen area to bathroom and bedroom to relocated kitchen; add 8'2"" x 5.5' to extend living room and 21' x 28' at rear for 3 new bedrooms and 1 bathroom.  All works are per engineering."
60,18016-10000-39034,"CONVERT ATTACHED GARAGE TO ADU PER AB 494 AND SB 229,  ALL WORK PER WFPP."
61,16010-20000-04452,NEW 23' X 30' 1 STORY ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069.
