,permit_ID,section,date,status,inspector
0,17016-70000-24314,METHANE-Rough,11/6/2017,Approved,MATTHEW NUCKOLLS
1,17016-70000-24314,Wood Frame,11/6/2017,Not Ready for Inspection,MATTHEW NUCKOLLS
2,17016-70000-24314,Wood Frame,11/13/2017,Not Ready for Inspection,MATTHEW NUCKOLLS
3,17016-70000-24314,Wood Frame,11/21/2017,Not Ready for Inspection,MATTHEW NUCKOLLS
4,17016-70000-24314,Wood Frame,12/4/2017,Approved,MATTHEW NUCKOLLS
5,17016-70000-24314,SGSOV-Seismic Gas S/O Valve,4/17/2018,SGSOV Approved,ROBERT MCDOWELL
6,17016-70000-24314,Smoke Detectors,4/17/2018,Not Ready for Inspection,ROBERT MCDOWELL
7,17016-70000-24314,Final,4/19/2018,Corrections Issued,MATTHEW NUCKOLLS
8,17016-70000-24314,Final,5/30/2018,OK to Issue CofO,ROBERT MCDOWELL
9,17016-70000-24314,Smoke Detectors,5/30/2018,Approved,ROBERT MCDOWELL
10,14016-30001-14165,Final,8/29/2014,Corrections Issued,ROBERT GARTH
11,14016-30001-14165,Wood Frame,8/29/2014,Corrections Issued,ROBERT GARTH
12,14016-30001-14165,Final,3/8/2017,Permit Finaled,ROBERT GARTH
13,14016-30001-14165,Wood Frame,3/8/2017,Approved,ROBERT GARTH
14,15020-10000-02261,Excavation/Setback/Form/Re-Bar,8/28/2015,Approved,MARK HATFIELD
15,15020-10000-02261,Reinforced Masonry Frame,8/28/2015,Approved,MARK HATFIELD
16,15020-10000-02261,Final,8/11/2016,Permit Finaled,ROBERT MCDOWELL
17,15020-10000-02261,Grading Pre-Inspection,8/11/2016,Not Ready for Inspection,ROBERT MCDOWELL
18,17016-30000-03957,BUILDING-Rough-Frame,4/17/2017,Not Ready for Inspection,DAVID CHAN
19,17016-30000-03957,ELECTRICAL-Rough,4/17/2017,Not Ready for Inspection,DAVID CHAN
20,17016-30000-03957,PLUMBING-Rough,4/17/2017,Not Ready for Inspection,DAVID CHAN
21,17016-30000-03957,Rough-Elec/Plmb/HVAC,4/20/2017,Partial Approval,MATTHEW NUCKOLLS
22,17016-30000-03957,BUILDING-Rough-Frame,5/3/2017,Approved,DAVID CHAN
23,17016-30000-03957,Insulation,5/3/2017,Approved,DAVID CHAN
24,17016-30000-03957,PLUMBING-Rough,5/3/2017,Approved,DAVID CHAN
25,17016-30000-03957,Drywall Nailing,5/11/2017,Conditional Approval,DAVID CHAN
26,17016-30000-03957,Interior/Exterior Lathing,5/11/2017,Approved,DAVID CHAN
27,17016-30000-03957,BUILDING-Rough-Frame,5/25/2017,Not Ready for Inspection,DAVID CHAN
28,17016-30000-03957,Final,8/9/2017,Corrections Issued,DAVID CHAN
29,17016-30000-03957,Smoke Detectors,8/9/2017,Not Ready for Inspection,DAVID CHAN
30,17016-30000-03957,Final,8/14/2017,Permit Finaled,DAVID CHAN
31,17016-30000-03957,Smoke Detectors,8/14/2017,Approved,DAVID CHAN
32,12014-30000-04403,Footing/Foundation/Slab,4/23/2013,Not Ready for Inspection,SURJIT VIRK
33,12014-30000-04403,Footing/Foundation/Slab,4/25/2013,Approved,SURJIT VIRK
34,12014-30000-04403,ELECTRICAL-Rough,6/19/2013,Partial Inspection,EDWARD GOMEZ
35,12014-30000-04403,Green Building Rough,6/19/2013,No Access for Inspection,MEL KHACHATOURIAN
36,12014-30000-04403,ELECTRICAL-Rough,6/21/2013,Approved,ROBERT WALLEN
37,12014-30000-04403,Green Building Rough,6/21/2013,Approved,MEL KHACHATOURIAN
38,12014-30000-04403,Interior/Exterior Lathing,6/27/2013,Not Ready for Inspection,JOHN UTRERAS
39,12014-30000-04403,Drywall Nailing,6/28/2013,Approved,ROBERT WALLEN
40,12014-30000-04403,BUILDING-Rough-Frame,8/13/2013,Approved,ROBERT WALLEN
41,12014-30000-04403,Final,8/13/2013,Corrections Issued,ROBERT WALLEN
42,12014-30000-04403,Green Building Final,8/13/2013,No Access for Inspection,MEL KHACHATOURIAN
43,12014-30000-04403,SGSOV-Seismic Gas S/O Valve,8/13/2013,SGSOV Not Ready,ROBERT WALLEN
44,12014-30000-04403,Smoke Detectors,8/13/2013,Approved,ROBERT WALLEN
45,12014-30000-04403,Final,8/27/2013,Partial Inspection,ROBERT WALLEN
46,12014-30000-04403,Green Building Final,8/27/2013,No Access for Inspection,MEL KHACHATOURIAN
47,12014-30000-04403,SGSOV-Seismic Gas S/O Valve,8/27/2013,SGSOV Approved,ROBERT WALLEN
48,12014-30000-04403,Green Building Final,8/28/2013,Approved,MEL KHACHATOURIAN
49,12014-30000-04403,Final,3/26/2015,Conditional Approval,DAVID HEINE
50,12014-30000-04403,Final,4/7/2015,Conditional Approval,DAVID HEINE
51,14043-10000-01357,Overhead Hydro,4/16/2014,Approved,JOSEPH TAYLOR
52,14043-10000-01357,Rough,4/16/2014,Approved,JOSEPH TAYLOR
53,14043-10000-01357,Final,9/25/2014,Partial Approval,JOSEPH TAYLOR
54,13016-20000-17951,BUILDING-Rough-Frame,10/21/2013,Approved,GREG ALLTON
55,13016-20000-17951,ELECTRICAL-Rough,10/21/2013,Partial Approval,GREG ALLTON
56,13016-20000-17951,PLUMBING-Rough,10/21/2013,Approved,GREG ALLTON
57,13016-20000-17951,ELECTRICAL-Final,2/6/2014,Approved,GREG ALLTON
58,13016-20000-17951,Final,4/14/2014,Permit Finaled,GREG ALLTON
59,13016-20000-17951,SGSOV-Seismic Gas S/O Valve,4/14/2014,SGSOV Approved,GREG ALLTON
60,13016-20000-17951,Smoke Detectors,4/14/2014,Approved,GREG ALLTON
61,13016-20000-12410,BUILDING-Rough-Frame,7/10/2013,Approved,KIRK LINKLATER
62,13016-20000-12410,ELECTRICAL-Rough,7/10/2013,Approved,KIRK LINKLATER
63,13016-20000-12410,HVAC-Rough,7/10/2013,Approved,KIRK LINKLATER
64,13016-20000-12410,PLUMBING-Rough,7/10/2013,Approved,KIRK LINKLATER
65,13016-20000-12410,Shower Pan,7/15/2013,Approved,KIRK LINKLATER
66,13016-20000-12410,Drywall Nailing,7/22/2013,Approved,KIRK LINKLATER
67,13016-20000-12410,Interior/Exterior Lathing,7/22/2013,Approved,KIRK LINKLATER
68,13016-20000-12410,Final,9/25/2013,Permit Finaled,KIRK LINKLATER
69,13016-20000-12410,Smoke Detectors,9/25/2013,Approved,KIRK LINKLATER
70,15016-20000-13649,Footing/Foundation/Slab,7/7/2015,Approved,GREG ALLTON
71,15016-20000-13649,Wood Frame,7/13/2015,Approved,GREG ALLTON
72,15016-20000-13649,Final,8/4/2015,Not Ready for Inspection,GREG ALLTON
73,15016-20000-13649,Smoke Detectors,8/4/2015,Approved,GREG ALLTON
74,15016-20000-13649,Final,8/6/2015,Permit Finaled,GREG ALLTON
75,18043-10000-00161,Overhead Hydro,1/17/2018,Approved,STANLEY IZUMI
76,18043-10000-00161,Rough,1/17/2018,Approved,STANLEY IZUMI
77,18043-10000-00161,Final,5/8/2018,Not Ready for Inspection,THOMAS COWAN
78,18043-10000-00161,Final,5/17/2018,Permit Finaled,STANLEY IZUMI
79,17016-20000-01187,Wood Frame,2/28/2017,Partial Approval,BRUCE ROZAK
