index,name,bz_score,projects,link
1,Ses Builders Inc,183,60 Home additions & 107 Kitchen remodels & ,https://www.buildzoom.com/contractor/ses-builders-inc
2,Skyline Construction & Remodeling,167,12 Kitchen remodels & 301 Other projects & ,https://www.buildzoom.com/contractor/skyline-construction-remodeling-woodland-hills-ca
3,Better Together Builders,163,3 New constructions & 27 Kitchen remodels & ,https://www.buildzoom.com/contractor/better-together-builders
4,GWP Services Inc,160,414 Total projects & ,https://www.buildzoom.com/contractor/gwp-services-inc-2
5,Supreme Remodeling Inc,153,49 Home additions & 78 Kitchen remodels & ,https://www.buildzoom.com/contractor/supreme-remodeling-inc
6,RL Remodeling Inc,152,45 Home additions & 45 Kitchen remodels & ,https://www.buildzoom.com/contractor/rl-remodeling-inc
7,Jms Developers Inc,152,4 New constructions & 3 Kitchen remodels & ,https://www.buildzoom.com/contractor/jms-developers-inc
8,Metropolis Drafting & Construction Inc,150,4 Home additions & 19 Kitchen remodels & ,https://www.buildzoom.com/contractor/metropolis-drafting-construction-inc
9,Builderzz Inc,149,3 Home additions & 33 Other projects & ,https://www.buildzoom.com/contractor/builderzz-inc
10,Dave's Remodeling Inc,149,5 Kitchen remodels & 3 Bathroom remodels & ,https://www.buildzoom.com/contractor/daves-remodeling-inc
11,800 Remodeling Inc,149,8 Kitchen remodels & 11 Other projects & ,https://www.buildzoom.com/contractor/800-remodeling-inc
12,1 Oak Remodeling,148,5 Home additions & 15 Bathroom remodels & ,https://www.buildzoom.com/contractor/1-oak-remodeling-2
13,Denali Builders Ca,147,5 Total projects & ,https://www.buildzoom.com/contractor/denali-builders-ca
14,Ivy Builders,147,11 Total projects & ,https://www.buildzoom.com/contractor/ivy-builders
15,Regal Construction and Remodeling Inc,146,15 Home additions & 57 Kitchen remodels & ,https://www.buildzoom.com/contractor/regal-construction-and-remodeling-inc
16,NA Design Builders,145,4 New constructions & 38 Kitchen remodels & ,https://www.buildzoom.com/contractor/na-design-builders
17,Cali Builders & Construction Inc.,145,3 Home additions & 24 Other projects & ,https://www.buildzoom.com/contractor/cali-builders-construction-inc
18,AGA Construction Inc,145,3 Home additions & 27 Kitchen remodels & ,https://www.buildzoom.com/contractor/aga-construction-inc-ca
19,Ap Remodeling,143,13 Total projects & ,https://www.buildzoom.com/contractor/ap-remodeling-ca
20,California Construction Center Inc,140,20 Home additions & 52 Kitchen remodels & ,https://www.buildzoom.com/contractor/california-construction-center-inc-2
21,JJP Construction Inc,140,84 New constructions & 28 Garage constructions & ,https://www.buildzoom.com/contractor/jjp-construction-inc-ca
22,Levi Construction Group,139,28 Home additions & 4 Kitchen remodels & ,https://www.buildzoom.com/contractor/levi-construction-group
23,Venetian Builders Inc,139,7 Home additions & 11 Kitchen remodels & ,https://www.buildzoom.com/contractor/venetian-builders-inc-valley-village-ca
24,Shafran Construction,139,4 Kitchen remodels & 128 Other projects & ,https://www.buildzoom.com/contractor/shafran-construction
25,Kn remodeling and supplies inc,138,27 Home additions & 32 Kitchen remodels & ,https://www.buildzoom.com/contractor/kn-remodeling-and-supplies-inc
26,American Home Improvement Inc,138,14 Home additions & 41 Kitchen remodels & ,https://www.buildzoom.com/contractor/american-home-improvement-inc-woodland-hills-ca
27,Preferred Home Builders,138,49 Home additions & 203 Kitchen remodels & ,https://www.buildzoom.com/contractor/preferred-home-builders
28,CALIFORNIA HOME SOLAR AND REMODELING,137,394 Total projects & ,https://www.buildzoom.com/contractor/california-home-solar-and-remodeling
29,Treeium Home Remodeling,137,128 Home additions & 294 Kitchen remodels & ,https://www.buildzoom.com/contractor/treeium-home-remodeling
30,G H Remodeling Inc,137,5 Kitchen remodels & 205 Other projects & ,https://www.buildzoom.com/contractor/g-h-remodeling-inc
31,Greenerz Inc,137,5 Home additions & 7 Kitchen remodels & ,https://www.buildzoom.com/contractor/greenerz-inc
32,CMS Builders and Restoration Inc,136,5 Home additions & 5 Kitchen remodels & ,https://www.buildzoom.com/contractor/cms-builders-and-restoration-inc
33,"Royal Home Builders, Inc.",136,8 Home additions & 22 Kitchen remodels & ,https://www.buildzoom.com/contractor/royal-home-builders-inc-los-angeles-ca
