,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,2020_performance,2019_performance,2018_performance,2017_performance,2016_performance,2015_performance,2014_performance,2013_performance,2020_avg_numb_insp,2019_avg_numb_insp,2018_avg_numb_insp,2017_avg_numb_insp,2016_avg_numb_insp,2015_avg_numb_insp,2014_avg_numb_insp,2013_avg_numb_insp,numb_revs,rate,Home Additions,New Constructions,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$250k-$500k,experience,non_ADU_proj_count,non_ADU_avg_insp,w_avg_time_per_insp,avg_construction_time,non_ADU_avg_time_per_insp,ADU_proj_count,non_ADU_avg_eval,Assessor Book,Assessor Page,Assessor Parcel,Tract,Block,Lot,Reference # (Old Permit #),PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Permit Category,Project Number,Event Code,Initiating Office,Issue Date,Address Start,Address Fraction Start,Address End,Address Fraction End,Street Direction,Street Name,Street Suffix,Suffix Direction,Unit Range Start,Unit Range End,Zip Code,Work Description,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Contractor's Business Name,Contractor Address,Contractor City,Contractor State,License Type,Principal First Name,Principal Middle Name,Principal Last Name,License Expiration Date,Applicant First Name,Applicant Last Name,Applicant Business Name,Applicant Address 1,Applicant Address 2,Applicant Address 3,Zone,Occupancy,Floor Area-L.A. Building Code Definition,Census Tract,Latitude/Longitude,permit_ID,is_ADU,Inspection Date,Inspection Result,Inspection Type,insp_count,construction_time,norm_construction_time,t0,freshness_score,proj_final_score
0,1022172.0,True,27.855539464156408,,3.0,1.0,,1.0,3.0,,,,,,,26.5,20.975925925925925,,,,,,,12.0,7.666666666666667,,,,,,17.0,5.0,9.0,0.0,0.0,17.0,29.0,5.0,0.0,0.0,797.0,2.0,6.5,16.252164146394918,102.0,16.26388888888889,2.0,16000.0,2671.0,27.0,004,TR 22504,,4,19VN97006,19016-20000-02431,CofO Issued,2020-05-07,Bldg-Alter/Repair,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2019-06-21,9419.0,,9419.0,,N,HASKELL,AVE,,,,91343.0,"convert (e) two car garage to (n) recreation room. ""comply with depart",20000.0,412.0,,0.0,FIDELITY BUILDERS & DESIGN INC,4804 LAUREL CANYON BLVD #253,VALLEY VILLAGE,CA,B,ITAY,,SOLMANI,12/31/2020,OTON,URBAN,,2604 28TH ST.,#3,"SANTA MONICA, CA",RS-1,,0.0,1172.02,"(34.24165, -118.47644)",19016-20000-02431,True,2019-06-24,Approved,Footing/Foundation/Slab,12,318,26.5,2017-01-01,0.838139534883721,22.210697674418604
1,1022172.0,True,27.855539464156408,,3.0,1.0,,1.0,3.0,,,,,,,26.5,20.975925925925925,,,,,,,12.0,7.666666666666667,,,,,,17.0,5.0,9.0,0.0,0.0,17.0,29.0,5.0,0.0,0.0,797.0,2.0,6.5,16.252164146394918,102.0,16.26388888888889,2.0,16000.0,2115.0,3.0,003,TR 16994,,31,18VN65880,17016-20000-29178,CofO Issued,2019-02-28,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2018-04-26,7545.0,,7545.0,,N,QUAKERTOWN,AVE,,,,91306.0,remove a 5' x 22' portion of the exist. garage and convert the remaini,28400.0,473.0,,1.0,FIDELITY BUILDERS & DESIGN INC,4804 LAUREL CANYON BLVD #253,VALLEY VILLAGE,CA,B,ITAY,,SOLMANI,12/31/2018,JOSHUA,FLOWERS,,13273 VENTURA BL.,#211,STUDIO CITY CA,R1-1,,11.0,1347.2,,17016-20000-29178,True,2018-04-30,Approved,Deputy Drilled-In Anchors,10,304,30.4,2017-01-01,0.44651162790697674,13.573953488372092
2,734381.0,True,17.01017840500599,7.0,3.0,4.0,,1.0,1.0,3.0,1.0,4.0,2.0,2.0,,25.0,11.5,22.74355784355784,27.08,26.942460317460316,39.16666666666667,24.1,,12.0,14.0,30.0,25.0,14.0,14.5,14.5,,,,,,,,,,,2627.0,12.0,15.25,25.73973502251946,411.0833333333333,27.680079365079365,2.0,371469.3333333333,4358.0,5.0,020,P M 3543,,A,17WL79955,17016-30000-07023,CofO Issued,2019-02-09,Bldg-Alter/Repair,1 or 2 Family Dwelling,Plan Check,,,WEST LA,2017-05-03,131.0,,131.0,,N,DELFERN,DR,,,,90077.0,"convert existing pool house to accessory living quater, enclosure of (",50000.0,,0.0,0.0,MARMOL RADZINER AN ARCHITECTURAL CORPORATION,12210 NEBRASKA AVENUE,LOS ANGELES,CA,B,LEONARDO,EMILIO,MARMOL,04/30/2019,CHRIS,DRUGAN,,,,,RE40-1,,0.0,2621.0,"(34.08018, -118.4287)",17016-30000-07023,True,2017-06-02,Partial Approval,Excavation/Setback/Form/Re-Bar,35,617,17.62857142857143,2017-01-01,0.11348837209302326,2.0006378737541533
3,734381.0,True,17.01017840500599,7.0,3.0,4.0,,1.0,1.0,3.0,1.0,4.0,2.0,2.0,,25.0,11.5,22.74355784355784,27.08,26.942460317460316,39.16666666666667,24.1,,12.0,14.0,30.0,25.0,14.0,14.5,14.5,,,,,,,,,,,2627.0,12.0,15.25,25.73973502251946,411.0833333333333,27.680079365079365,2.0,371469.3333333333,4358.0,5.0,020,P M 3543,,A,17WL79627,17014-30000-00371,CofO Issued,2019-02-09,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,WEST LA,2017-04-21,131.0,,131.0,,N,DELFERN,DR,,,,90077.0,interior remodel and addition of  to (e) sfd  convert 229 s.f. covered,207500.0,10221.0,0.0,2.0,MARMOL RADZINER AN ARCHITECTURAL CORPORATION,12210 NEBRASKA AVENUE,LOS ANGELES,CA,B,LEONARDO,EMILIO,MARMOL,04/30/2017,PENNY,FLINN,,23622 CALABASAS RD.,#100,"CALABASAS, CA.",RE40-1,,541.0,2621.0,"(34.08018, -118.4287)",17014-30000-00371,True,2017-06-15,Conditional Approval,Deputy Drilled-In Anchors,37,604,16.324324324324323,2017-01-01,0.10232558139534884,1.6703959773727213
4,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2531.0,33.0,031,TR 43902,,31,19VN96950,19014-20000-03331,CofO Issued,2020-05-05,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2019-06-21,11864.0,,11866.0,,N,WHEELER,AVE,,,,91342.0,convert attached garage to accessory dwelling unit with addition of 8',30000.0,1618.0,0.0,2.0,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2020,MICHAEL,MILLER,,12756 MITCHELL AVE,,"L.A.,  CA",[Q]RZ5-1,,87.0,1042.04,"(34.28573, -118.39753)",19014-20000-03331,True,2019-07-02,No Access for Inspection,Deputy Drilled-In Anchors,34,308,9.058823529411764,2017-01-01,0.838139534883721,7.592558139534884
5,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2125.0,023,004,TR 16634,,54,18VN67244,17014-20000-02487,CofO Issued,2019-01-17,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2018-05-14,6604.0,,6604.0,,N,WYNNE,AVE,,,,91335.0,"convert   6'6"" x 20'2""  portion of (e) detached garage and 32'7"" x 25'",155000.0,1199.0,,2.0,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2018,MICHAEL,,,12756 MITCHELL AV,,L A,R1-1-RIO,,1068.0,1327.0,"(34.19058, -118.52979)",17014-20000-02487,True,2018-06-04,Partial Approval,PLUMBING-Rough,9,227,25.22222222222222,2017-01-01,0.46325581395348836,11.684341085271317
6,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2417.0,14.0,016,TR 9744,,39,19VN02399,19014-20000-04716,CofO Issued,2020-03-07,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2019-08-29,5327.0,,5327.0,,N,BILOXI,AVE,,,,91601.0,"re-slab detached garage,  add 13' x 10'7"" and convert to accessory dwe",45000.0,449.0,,1.0,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2020,MICHAEL,MILLER,,12756 MITCHELL AVE,,"L.A., CA",R1-1,,127.0,1253.1,,19014-20000-04716,True,2019-09-11,Corrections Issued,Footing/Foundation/Slab,10,178,17.8,2017-01-01,0.9023255813953488,16.06139534883721
7,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2246.0,30.0,004,TR 15064,,32,19VN00960,19014-20000-04369,CofO Issued,2020-01-04,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2019-08-13,5647.0,,5647.0,,N,COLBATH,AVE,,,,91401.0,add 8' x 12' to and convert detached garage into an accessory dwelling,30000.0,462.0,,1.0,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2020,MICHAEL,MILLER,,12756 MITCHELL AVE,,"LOS ANGELES, CA",R1-1,,96.0,1286.02,,19014-20000-04369,True,2019-08-20,Conditional Approval,Deputy Drilled-In Anchors,14,137,9.785714285714286,2017-01-01,0.8874418604651163,8.684252491694354
8,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2327.0,7.0,039,TR 20385,,4,19VN84336,18014-20000-07260,CofO Issued,2019-08-09,Bldg-Addition,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2019-01-02,6849.0,,6851.0,,N,ATOLL,AVE,,,,91605.0,"convert (e) attached 18'-0"" x 20'-1"" garage and add 1'-8"" x 18'-0"" for",40000.0,383.0,0.0,0.0,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2019,MICHATL,MILLER,,12756 MITCHELL AV,,"L.A., CA",R1-1,,30.0,1234.1,,18014-20000-07260,True,2019-01-16,Conditional Approval,Deputy Drilled-In Anchors,10,205,20.5,2017-01-01,0.68,13.940000000000001
9,851344.0,True,18.253231785687728,,9.0,9.0,,5.0,2.0,4.0,2.0,1.0,2.0,2.0,,13.228907563025212,35.361111111111114,16.638675213675214,13.477272727272727,39.6,12.965277777777779,33.125,,14.6,7.5,9.25,7.5,5.0,8.5,4.0,,,,,,,,,,,2519.0,12.0,7.25,16.74802203241658,125.83333333333333,19.524150155400154,6.0,21100.0,2224.0,29.0,019,TR 3146,,4,18VN62110,18016-20000-06885,Permit Finaled,2019-01-02,Bldg-Alter/Repair,1 or 2 Family Dwelling,Plan Check,,,VAN NUYS,2018-03-06,15823.0,,15823.0,,W,MARLIN,PL,,,,91406.0,"convert the (e) dining room into (n) bedroom, convert (e) bedroom into",40000.0,,,,YOUR FAVORITE CONTRACTOR INC,18375 VENTURA BLVD #402,TARZANA,CA,B,NIR,,ELIDAYAN,12/31/2018,MICHAEL,MILLER,,,,,R1-1,,,1276.03,"(34.19674, -118.47795)",18016-20000-06885,True,2018-04-04,Approved,Footing/Foundation/Slab,6,273,45.5,2017-01-01,0.39906976744186046,18.15767441860465
