,index,adu_performance_prediction,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,2020_performance,2019_performance,2018_performance,2017_performance,2016_performance,2015_performance,2014_performance,2013_performance,2020_avg_numb_insp,2019_avg_numb_insp,2018_avg_numb_insp,2017_avg_numb_insp,2016_avg_numb_insp,2015_avg_numb_insp,2014_avg_numb_insp,2013_avg_numb_insp,numb_revs,rate,Home Additions,New Constructions,Garage Constructions,< $5k,$5k-$20k,$20k-$50k,$50k-$100k,$250k-$500k,experience,non_ADU_proj_count,non_ADU_avg_insp,w_avg_time_per_insp,avg_construction_time,non_ADU_avg_time_per_insp,ADU_proj_count,non_ADU_avg_eval,BusinessType,BusinessName,Address,City,State,ZIP Code,County,PhoneNumber,IssueDate,ExpirationDate,Classification(s),Status,SuretyCompany,ContractorBondNumber,BondEffectiveDate,BondCancellationDate,WorkersCompCoverageType,WorkersCompInsuranceCompany,WorkersCompPolicyNumber,EffectiveDate,ExpirationDate1,CancellationDate,WorkersCompSuspendDate
0,2714,21.61108450179389,704277.0,True,11.44,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.44,0.0,21.066666666666666,0.0,0.0,19.176470588235293,0.0,0.0,25.0,0.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,2.0,16.0,20.524004825090472,321.0,20.12156862745098,1.0,45000.0,Sole Owner,JUNG CHRISTOPHER,813 N SIERRA BONITA AVE,LOS ANGELES,CA,90046.0,Los Angeles,(310) 490 0557,03/22/1995,03/31/2021,B,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,SC403390,01/01/2016,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9208461,06/04/2019,06/04/2021,,
1,1686,21.901002246368943,1026462.0,False,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.862958532695373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,6.0,20.666666666666668,18.862958532695373,388.1666666666667,18.862958532695373,0.0,230500.0,Corporation,U L CONSTRUCTION INC,7355 BALBOA BLVD #100,VAN NUYS,CA,91406.0,Los Angeles,(818) 786 1668,05/04/2017,05/31/2021,B,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100346898,04/11/2017,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9136277,06/27/2016,06/27/2021,,
2,286,21.907332387279183,832810.0,True,8.129032258064516,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.129032258064516,33.0,0.0,16.444444444444443,25.458333333333332,30.166666666666668,0.0,0.0,31.0,4.0,0.0,9.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.0,4.0,10.75,26.72432122180076,268.0,26.26736111111111,1.0,47775.0,,,,,,,,,,,,,,,,,,,,,,,
3,16,22.5051810137121,1035397.0,True,8.24,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.25,8.24,34.2,0.0,0.0,0.0,0.0,0.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,2.0,4.5,28.776546337344314,134.0,29.225,1.0,34250.0,Corporation,WHITESTONE BUILDERS INC,145 S FAIRFAX AVE #200,LOS ANGELES,CA,90036.0,Los Angeles,(213) 268 1280,01/30/2018,01/31/2022,B,CLEAR,SURETEC INDEMNITY COMPANY,138212,01/10/2018,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9235073,07/17/2019,07/17/2020,,
4,529,22.617889032354896,1003187.0,True,9.80952380952381,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.80952380952381,0.0,33.525,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,2.0,4.5,33.504787082023434,150.0,33.525,1.0,18750.0,Corporation,HOME PRO GREEN REMODELING INC,18375 VENTURA BLVD SUITE 378,TARZANA,CA,91356.0,Los Angeles,(800) 711 1920,04/27/2015,04/30/2021,B,CLEAR,WESTERN SURETY COMPANY,64904761,04/10/2020,,Exempt,,,04/02/2019,,,
5,1467,23.258321902686262,790483.0,True,14.727272727272727,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,14.727272727272727,29.666666666666668,10.863636363636363,48.81818181818182,0.0,10.705882352941176,0.0,0.0,22.0,6.0,22.0,11.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323.0,4.0,14.0,25.95665809654683,284.0,25.013591800356505,1.0,312250.0,Corporation,VALLEY CONCRETE AND FOUNDATIONS,11950 ANDASOL AVENUE,GRANADA HILLS,CA,91344.0,Los Angeles,(818) 402 6164,01/25/2001,01/31/2021,B| C-8| C29,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100127919,01/01/2016,,Exempt,,,05/24/2019,,,
6,98,23.336227828777414,524012.0,True,12.08695652173913,3.0,1.0,7.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,12.08695652173913,0.0,37.5,25.455128205128208,30.906015037593985,29.93148148148148,23.416666666666664,0.0,23.0,0.0,6.0,27.5,13.0,16.333333333333332,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,10.0,16.3,29.685943516398655,408.6,28.685006426322218,1.0,505500.0,Corporation,GIBSON CONSTRUCTION,3000 31 STREET SUITE G,SANTA MONICA,CA,90405.0,Los Angeles,(310) 396 9310,02/04/1988,02/28/2022,B,CLEAR,WESCO INSURANCE COMPANY,04WB015151,01/01/2016,,Workers' Compensation Insurance,INSURANCE COMPANY OF THE WEST,WM0504529301,01/01/2020,01/01/2021,,
7,2564,23.422048369555124,1001310.0,False,0.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,13.772727272727273,13.992105263157896,34.75,27.728571428571428,0.0,0.0,0.0,0.0,22.0,14.5,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,6.0,14.166666666666666,20.923371754051804,281.1666666666667,21.99401344269765,0.0,474083.3333333333,Corporation,REFINED HOME CONSTRUCTION INC,113 N SAN VICENTE BLVD,BEVERLY HILLS,CA,90211.0,Los Angeles,(213) 572 2000,02/17/2015,02/28/2021,B,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100474804,12/04/2019,,Exempt,,,01/15/2019,,,
8,1498,23.536224187181464,627319.0,True,8.11111111111111,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.11111111111111,0.0,0.0,16.1,15.545454545454545,0.0,0.0,0.0,27.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.0,2.0,10.5,15.894297669839187,166.0,15.822727272727274,1.0,25000.0,Sole Owner,WELCH CYNTHIA JANAKI,20912 FONTAINE RD,TOPANGA,CA,90290.0,Los Angeles,(310) 455 4323,09/03/1991,09/30/2021,B,CLEAR,SURETEC INDEMNITY COMPANY,461528,10/02/2018,,Exempt,,,08/22/2019,,,
9,109,23.99077135347605,792758.0,True,13.521739130434783,14.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,9.098997493734336,24.924242705764446,20.271885521885523,0.0,0.0,0.0,0.0,0.0,20.0,13.333333333333334,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,13.0,13.0,22.020027200790793,257.15384615384613,22.293084367274655,1.0,285862.6153846154,Sole Owner,KIM RICHARD J,3209 LYNWOOD ROAD,LYNWOOD,CA,90262.0,Los Angeles,(424) 233 5214,03/20/2001,03/31/2021,C54| B,CLEAR,NAVIGATORS INSURANCE COMPANY,NAV00018624,02/27/2020,,Exempt,STATE COMPENSATION INSURANCE FUND,9249390,04/20/2020,04/20/2021,,
